Region,Date,Value
HSE Dublin and South East,2024-02-25,2.811265244420462
HSE Dublin and South East,2024-03-03,2.9657303677402678
HSE Dublin and South East,2024-03-10,3.1098978161720865
HSE Dublin and South East,2024-03-17,3.573293186131503
HSE Dublin and South East,2024-03-24,2.7803722197565013
HSE Dublin and South East,2024-03-31,3.264362939491892
HSE Dublin and South East,2024-04-07,3.923414132323063
HSE Dublin and South East,2024-04-14,3.3879350381477367
HSE Dublin and South East,2024-04-21,3.6968652847873478
HSE Dublin and South East,2024-04-28,3.315851313931827
HSE Dublin and South East,2024-05-05,2.8318605941964363
HSE Dublin and South East,2024-05-12,2.4714419731168897
HSE Dublin and South East,2024-05-19,2.1213210269253304
HSE Dublin and South East,2024-05-26,2.172809401365266
HSE Dublin and South East,2024-06-02,1.6579256569659138
HSE Dublin and South East,2024-06-09,2.2345954506931878
HSE Dublin and South East,2024-06-16,2.3478698744610456
HSE Dublin and South East,2024-06-23,2.4302512735649415
HSE Dublin and South East,2024-06-30,2.780372219756501
HSE Dublin and South East,2024-07-07,2.1625117264772786
HSE Dublin and South East,2024-07-14,2.502334997780851
HSE Dublin and South East,2024-07-21,1.760902405845784
HSE Dublin and South East,2024-07-28,1.6888186816298747
HSE Dublin and South East,2024-08-04,1.8947721793896155
HSE Dublin and South East,2024-08-11,2.3272745246850715
HSE Dublin and South East,2024-08-18,1.9359628789415637
HSE Dublin and South East,2024-08-25,2.5847163968847475
HSE Dublin and South East,2024-09-01,2.667097795988644
HSE Dublin and South East,2024-09-08,2.718586170428579
HSE Dublin and South East,2024-09-15,3.4909117870276067
HSE Dublin and South East,2024-09-22,3.3261489888198144
HSE Dublin and South East,2024-09-29,3.0584094417321515
HSE Dublin and South East,2024-10-06,3.614483885683452
HSE Dublin and South East,2024-10-13,3.3570420134837757
HSE Dublin and South East,2024-10-20,3.3982327130357235
HSE Dublin and South East,2024-10-27,2.3581675493490324
HSE Dublin and South East,2024-11-03,2.172809401365266
HSE Dublin and South East,2024-11-10,3.3673396883717626
HSE Dublin and South East,2024-11-17,2.780372219756501
HSE Dublin and South East,2024-11-24,3.02751641706819
HSE Dublin and South East,2024-12-01,4.201451354298713
HSE Dublin and South East,2024-12-08,4.180856004522739
HSE Dublin and South East,2024-12-15,3.810139708555205
HSE Dublin and South East,2024-12-22,2.1934047511412396
HSE Dublin and South East,2024-12-29,1.019469813910717
HSE Dublin and South East,2025-01-05,3.4909117870276067
HSE Dublin and South East,2025-01-12,3.4703164372516326
HSE Dublin and South East,2025-01-19,3.6556745852353996
HSE Dublin and South East,2025-01-26,5.04586069511365
HSE Dublin and South East,2025-02-02,3.8513304081071533
HSE Dublin and South East,2025-02-09,4.242642053850661
HSE Dublin and South East,2025-02-16,2.512632672668838
HSE Dublin and South East,2025-02-23,3.521804811691568
HSE Dublin and South East,2025-03-02,2.6259070964366953
HSE Dublin and South East,2025-03-09,3.02751641706819
HSE Dublin and South East,2025-03-16,2.3066791749090974
HSE Dublin and South East,2025-03-23,1.9462605538295508
HSE Dublin and South East,2025-03-30,1.3489954103263024
HSE Dublin and South East,2025-04-06,1.6064372825259785
HSE Dublin and South East,2025-04-13,1.6579256569659138
HSE Dublin and South East,2025-04-20,1.6682233318539008
HSE Dublin and South East,2025-04-27,1.9359628789415637
HSE Dublin and South East,2025-05-04,1.7814977556217582
HSE Dublin and South East,2025-05-11,2.008046603157473
HSE Dublin and South East,2025-05-18,1.8329861300616934
HSE Dublin and South East,2025-05-25,2.3993582489009806
HSE Dublin and South East,2025-06-01,2.1213210269253304
HSE Dublin and South East,2025-06-08,2.2757861502451364
HSE Dublin and South East,2025-06-15,1.5858419327500044
HSE Dublin and South East,2025-06-22,1.8020931053977323
HSE Dublin and South East,2025-06-29,1.8535814798376675
HSE Dublin and South East,2025-07-06,1.74030705606981
HSE Dublin and South East,2025-07-13,2.0698326524853954
HSE Dublin and South East,2025-07-20,2.47144197311689
HSE Dublin and South East,2025-07-27,2.1625117264772786
HSE Dublin and South East,2025-08-03,1.9050698542776026
HSE Dublin and South East,2025-08-10,1.997748928269486
HSE Dublin and South East,2025-08-17,2.3375721995730583
HSE Dublin and South East,2025-08-24,2.8421582690844236
HSE Dublin and South East,2025-08-31,2.564121047108773
HSE Dublin and South East,2025-09-07,2.3684652242370197
HSE Dublin and South East,2025-09-14,3.243767589715918
HSE Dublin and South East,2025-09-21,3.573293186131503
HSE Dublin and South East,2025-09-28,2.4199535986769547
HSE Dublin and South East,2025-10-05,2.1316187018133177
HSE Dublin and South East,2025-10-12,2.770074544868514
HSE Dublin and South East,2025-10-19,2.9554326928522805
HSE Dublin and South East,2025-10-26,2.8627536188603973
HSE Dublin and South East,2025-11-02,2.728883845316566
HSE Dublin and South East,2025-11-09,4.45889322649839
HSE Dublin and South East,2025-11-16,3.665972260123387
HSE Mid West,2023-01-01,1.162061594106411
HSE Mid West,2023-01-08,6.9239503315506985
HSE Mid West,2023-01-15,3.7767001808458356
HSE Mid West,2023-01-22,4.599827143337877
HSE Mid West,2023-01-29,3.921957880109137
HSE Mid West,2023-02-05,5.326115639654383
HSE Mid West,2023-02-12,6.439758000673027
HSE Mid West,2023-02-19,7.287094579708952
HSE Mid West,2023-02-26,7.819706143674391
HSE Mid West,2023-03-05,7.577609978235555
HSE Mid West,2023-03-12,7.432352278972253
HSE Mid West,2023-03-19,7.359723429340603
HSE Mid West,2023-03-26,8.715461955798082
HSE Mid West,2023-04-02,8.328108091095945
HSE Mid West,2023-04-09,8.037592692569342
HSE Mid West,2023-04-16,6.996579181182349
HSE Mid West,2023-04-23,8.110221542200993
HSE Mid West,2023-04-30,8.400736940727596
HSE Mid West,2023-05-07,8.884929271605266
HSE Mid West,2023-05-14,7.504981128603903
HSE Mid West,2023-05-21,7.311304196252836
HSE Mid West,2023-05-28,8.76388118888585
HSE Mid West,2023-06-04,7.7470772940427395
HSE Mid West,2023-06-11,7.940754226393809
HSE Mid West,2023-06-18,7.529190745147788
HSE Mid West,2023-06-25,8.134431158744878
HSE Mid West,2023-07-02,9.538588918290124
HSE Mid West,2023-07-09,8.884929271605268
HSE Mid West,2023-07-16,8.545994639990898
HSE Mid West,2023-07-23,8.473365790359246
HSE Mid West,2023-07-30,9.175444670131869
HSE Mid West,2023-08-06,7.940754226393809
HSE Mid West,2023-08-13,7.771286910586623
HSE Mid West,2023-08-20,7.093417647357883
HSE Mid West,2023-08-27,7.553400361691671
HSE Mid West,2023-09-03,8.521785023447014
HSE Mid West,2023-09-10,9.804894700272843
HSE Mid West,2023-09-17,9.151235053587985
HSE Mid West,2023-09-24,9.320702369395171
HSE Mid West,2023-10-01,10.143829331887211
HSE Mid West,2023-10-08,10.095410098799444
HSE Mid West,2023-10-15,8.739671572341965
HSE Mid West,2023-10-22,9.441750452114588
HSE Mid West,2023-10-29,8.013383076025459
HSE Mid West,2023-11-05,6.9239503315506985
HSE Mid West,2023-11-12,8.231269624920412
HSE Mid West,2023-11-19,9.659637001009541
HSE Mid West,2023-11-26,8.836510038517499
HSE Mid West,2023-12-03,8.231269624920412
HSE Mid West,2023-12-10,9.51437930174624
HSE Mid West,2023-12-17,10.095410098799444
HSE Mid West,2023-12-24,5.761888737444288
HSE Mid West,2023-12-31,2.7841059025466097
HSE Mid West,2024-01-07,7.069208030814
HSE Mid West,2024-01-14,7.698658060954973
HSE Mid West,2024-01-21,8.667042722710315
HSE Mid West,2024-01-28,10.19224856497498
HSE Mid West,2024-02-04,10.821698595115953
HSE Mid West,2024-02-11,12.129017888485663
HSE Mid West,2024-02-18,10.095410098799444
HSE Mid West,2024-02-25,9.369121602482938
HSE Mid West,2024-03-03,10.19224856497498
HSE Mid West,2024-03-10,9.635427384465657
HSE Mid West,2024-03-17,8.909138888149151
HSE Mid West,2024-03-24,10.168038948431096
HSE Mid West,2024-03-31,10.26487741460663
HSE Mid West,2024-04-07,8.763881188885849
HSE Mid West,2024-04-14,8.49757540690313
HSE Mid West,2024-04-21,9.732265850641191
HSE Mid West,2024-04-28,10.071200482255563
